"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"567",752688,"Ground Water","203621","0416195",1080,"WATER",533794,2013-05-14,NA,3.4,NA,NA,NA,NA,7.87,TRUE
"568",752688,"Ground Water","203621","0416195",1080,"WATER",540274,2014-09-10,NA,NA,NA,NA,NA,NA,10.6,TRUE
"569",752688,"Ground Water","203621","0416195",1080,"WATER",544926,2015-05-15,NA,NA,NA,NA,NA,NA,2.99,TRUE
"570",752690,"Ground Water","26277","9063201",360,"WATER",533805,2013-06-27,NA,NA,NA,NA,NA,NA,0.001,TRUE
"571",752693,"Ground Water","13212","9061517",52,"WATER",534016,2013-07-16,NA,NA,NA,NA,NA,NA,0.001,TRUE
"572",752695,"Ground Water","251600","0511246",500,"WATER",534027,2013-07-16,NA,NA,NA,NA,NA,NA,0.012,TRUE
"573",752697,"Ground Water","173128","0359876",695,"WATER",533874,2013-06-13,NA,NA,NA,NA,NA,NA,11,TRUE
"574",752716,"Ground Water","49760","9064651",802,"WATER",533889,2013-07-01,NA,NA,NA,NA,NA,NA,8.79,TRUE
"575",752717,"Ground Water","41355","9064230",816,"WATER",533897,2013-07-01,NA,NA,NA,NA,NA,NA,8.45,TRUE
"576",752718,"Ground Water","49483",NA,900,"WATER",534073,2013-07-26,NA,NA,NA,NA,NA,NA,7.7,TRUE
"577",752727,"Ground Water","251842","0512971",200,"WATER",534035,2013-02-19,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"578",752728,"Ground Water",NA,NA,NA,"WATER",534037,2013-03-07,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"579",752729,"Ground Water","229659","0466869",40,"WATER",534033,2013-04-25,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"580",752730,"Ground Water","763","C620763",55,"WATER",534029,2013-03-29,18.6,2.6,3.5,NA,NA,4.7,4e-04,TRUE
"581",752731,"Ground Water","80003","9065569",300,"WATER",534031,2013-03-29,NA,NA,NA,NA,NA,NA,0.00733,TRUE
"582",752732,"Ground Water","280937","3640373A",60,"WATER",534059,2013-02-04,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"583",752740,"Ground Water","13346","9061557",15,"WATER",534039,2013-07-22,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"584",752741,"Ground Water","13965","0503859A",28,"WATER",534041,2013-07-22,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"585",752741,"Ground Water","13965","0503859A",28,"WATER",541416,2014-12-04,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"586",752763,"Domestic Well","40634","9064191",130,"WATER",534633,2013-08-15,NA,NA,NA,NA,NA,NA,0.001,TRUE
"587",752764,"Domestic Well","220643","0449850",440,"WATER",534306,2013-08-15,NA,NA,NA,NA,NA,NA,2.8,TRUE
"588",752771,"Domestic Well","233464","0475787",0,"WATER",534308,2013-08-15,NA,NA,NA,NA,NA,NA,0.021,TRUE
"589",752773,"Domestic Well","224306","0457518",875,"WATER",534083,2013-07-26,NA,NA,NA,NA,NA,NA,7.7,TRUE
"590",752773,"Domestic Well","224306","0457518",875,"WATER",545258,2015-09-24,NA,NA,NA,NA,NA,NA,0.8,TRUE
"591",752773,"Domestic Well","224306","0457518",875,"WATER",553958,2016-08-23,NA,NA,NA,NA,NA,NA,4.2,TRUE
"592",752773,"Domestic Well","224306","0457518",875,"WATER",560315,2017-09-14,NA,NA,NA,NA,NA,NA,1.5,TRUE
"593",752774,"Ground Water","228820","0465105",885,"WATER",534087,2013-07-26,NA,NA,NA,NA,NA,NA,3,TRUE
"594",752775,"Ground Water","292286","3661379",19,"WATER",534278,2013-08-06,NA,NA,NA,NA,NA,NA,0.009,TRUE
"595",752775,"Ground Water","292286","3661379",19,"WATER",540272,2014-09-15,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"596",752776,"Ground Water","77978","9004462",950,"WATER",534089,2013-08-05,NA,NA,NA,NA,NA,NA,12,TRUE
"597",752777,"Ground Water","238905","0486168",900,"WATER",534099,2013-08-05,NA,NA,NA,NA,NA,NA,7.8,TRUE
"598",752785,"Domestic Well","77911","9065471",480,"WATER",536220,2014-01-10,NA,NA,NA,NA,NA,NA,0.016,TRUE
"599",752785,"Domestic Well","77911","9065471",480,"WATER",536222,2013-08-08,NA,NA,NA,NA,NA,NA,0.0099,TRUE
"600",752789,"Ground Water","193332",NA,750,"WATER",534254,2013-08-09,NA,NA,NA,NA,NA,NA,10,TRUE
"601",752794,"Ground Water","228628","3651619",800,"WATER",548197,2016-01-26,NA,NA,NA,NA,NA,NA,5.77,TRUE
"602",752794,"Ground Water","228628","3651619",800,"WATER",550529,2016-06-28,NA,NA,NA,NA,NA,NA,4.84,TRUE
"603",752810,"Domestic Well","216628","0442717",228,"WATER",535216,2013-09-06,NA,NA,NA,NA,NA,NA,6.5,TRUE
"604",752811,"Ground Water","162136","0331022A",450,"WATER",534762,2013-09-06,NA,NA,NA,NA,NA,NA,0.19,TRUE
