"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","methane","ethane","propane","methane_units","delta_13c_c1","d13c_units","fraction","origin","wattenberg"
"757",755507,"Domestic Well",518160,4435045,"52034","9064720",820,"GAS",558144,2017-04-25,42.83,0.03,1e-04,"MOL %",-73.95,"per mil",1422.92358803987,"Microbial",""
"758",755513,"Domestic Well",517889,4434294,"204191","0415127",785,"GAS",558154,2017-05-01,57.68,0.1,5e-04,"MOL %",-72.6,"per mil",573.930348258706,"Microbial",""
"759",755514,"Domestic Well",518194,4434052,"205845","0418188",810,"GAS",558216,2017-05-01,58.93,0.1,5e-04,"MOL %",-72.54,"per mil",586.36815920398,"Microbial",""
"760",755515,"Domestic Well",527470,4437490,"32927","9063649",705,"GAS",558224,2017-05-03,74.74,0.04,1e-04,"MOL %",-73.45,"per mil",1863.84039900249,"Microbial",""
"761",757161,"Domestic Well",522130,4431712,"186664","0368481",1046,"GAS",563722,2017-11-20,46.8,0.05,5e-04,"MOL %",-73.43,"per mil",926.732673267327,"Microbial",""
"762",757163,"Domestic Well",523445,4431804,"217214","0444727",1040,"GAS",563758,2017-11-21,54.32,0.05,2e-04,"MOL %",-73.3,"per mil",1082.07171314741,"Microbial",""
"763",755518,"Domestic Well",518768,4436631,"88814","0077766A",NA,"GAS",558586,2017-05-22,55.86,0.05,1e-04,"MOL %",-73.09,"per mil",1114.97005988024,"Microbial",""
"764",755520,"Domestic Well",517835,4431710,"222643","0445815",960,"GAS",558598,2017-05-30,52.65,0.07,1e-04,"MOL %",-72.94,"per mil",751.069900142653,"Microbial",""
"765",750158,"Ground Water",525446,4449830,"164639","0338627",550,"GAS",558608,2017-05-23,66.02,0.09,7e-04,"MOL %",-72.25,"per mil",727.894156560088,"Microbial",""
"766",755521,"Domestic Well",520210,4435993,"84701","9065763",840,"GAS",558690,2017-05-31,59.06,0.06,1e-04,"MOL %",-71.83,"per mil",982.695507487521,"Microbial",""
"767",755906,"Domestic Well",512929,4430990,"115376","0205423",NA,"GAS",561048,2017-08-31,62.97,0.0096,1e-04,"MOL %",-70.21,"per mil",6491.75257731959,"Microbial",""
"768",756958,"Domestic Well",527325,4433012,"65912","9065068",811,"GAS",561056,2017-09-19,55.76,0.05,1e-04,"MOL %",-72.33,"per mil",1112.97405189621,"Microbial",""
"769",755763,"Domestic Well",509575,4428413,"275027","3619457A",870,"GAS",558347,2017-06-30,33.67,0.07,0.01,"MOL %",-71.5,"per mil",420.875,"Microbial",""
